threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,business_cost
0.6399999999999999,0.728021978021978,0.35451505016722407,0.4768331084120558,3941,198,965,530,492400.0
0.6499999999999999,0.7319148936170212,0.3451505016722408,0.4690909090909091,3950,189,979,516,498950.0
0.6599999999999999,0.7377049180327869,0.3311036789297659,0.45706371191135736,3963,176,1000,495,508800.0
0.6699999999999999,0.7461059190031153,0.3204013377926421,0.44829199812821713,3976,163,1016,479,516150.0
0.6799999999999999,0.751219512195122,0.30903010033444817,0.437914691943128,3986,153,1033,462,524150.0
0.69,0.7636986301369864,0.2983277591973244,0.4290524290524291,4001,138,1049,446,531400.0
0.7,0.7675675675675676,0.28494983277591973,0.41560975609756096,4010,129,1069,426,540950.0
0.71,0.7763157894736842,0.2762541806020067,0.407498766650222,4020,119,1082,413,546950.0
0.72,0.78,0.2608695652173913,0.39097744360902253,4029,110,1105,390,558000.0
0.73,0.798728813559322,0.25217391304347825,0.3833248601931876,4044,95,1118,377,563750.0
0.74,0.8059360730593608,0.23612040133779263,0.3652353854112778,4054,85,1142,353,575250.0
0.7499999999999999,0.8162291169451074,0.22876254180602007,0.3573667711598746,4062,77,1153,342,580350.0
0.7599999999999999,0.8191214470284238,0.2120401337792642,0.3368756641870351,4069,70,1178,317,592500.0
0.7699999999999999,0.827683615819209,0.1959866220735786,0.316928069226609,4078,61,1202,293,604050.0
0.7799999999999999,0.8343373493975904,0.18528428093645485,0.3032293377120963,4084,55,1218,277,611750.0
0.7899999999999999,0.8520900321543409,0.17725752508361203,0.29346622369878184,4093,46,1230,265,617300.0
0.7999999999999999,0.8633093525179856,0.1605351170568562,0.2707275803722504,4101,38,1255,240,629400.0
0.8099999999999999,0.8697478991596639,0.13846153846153847,0.23889209463358338,4108,31,1288,207,645550.0
0.82,0.892018779342723,0.12709030100334448,0.2224824355971897,4116,23,1305,190,653650.0
0.83,0.8961748633879781,0.1096989966555184,0.19547079856972585,4120,19,1331,164,666450.0
0.84,0.8950617283950617,0.09698996655518395,0.17501508750754374,4122,17,1350,145,675850.0
0.8499999999999999,0.8827586206896552,0.08561872909698996,0.15609756097560976,4122,17,1367,128,684350.0
0.8599999999999999,0.8703703703703703,0.06287625418060201,0.11728009981285091,4125,14,1401,94,701200.0
0.8699999999999999,0.8571428571428571,0.04414715719063545,0.08396946564885496,4128,11,1429,66,715050.0
0.8799999999999999,0.8545454545454545,0.031438127090301006,0.06064516129032258,4131,8,1448,47,724400.0
0.8899999999999999,0.896551724137931,0.017391304347826087,0.03412073490813648,4136,3,1469,26,734650.0
0.8999999999999999,1.0,0.007357859531772575,0.014608233731739707,4139,0,1484,11,742000.0
0.9099999999999999,1.0,0.0026755852842809363,0.00533689126084056,4139,0,1491,4,745500.0
0.9199999999999999,0.0,0.0,0.0,4139,0,1495,0,747500.0
0.9299999999999999,0.0,0.0,0.0,4139,0,1495,0,747500.0
0.94,0.0,0.0,0.0,4139,0,1495,0,747500.0
0.95,0.0,0.0,0.0,4139,0,1495,0,747500.0
