threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,business_cost
0.3,0.5413358243811303,0.7752508361204014,0.6375137513751375,3157,982,336,1159,217100.0
0.30999999999999994,0.5458452722063037,0.7645484949832776,0.6369462245750905,3188,951,352,1143,223550.0
0.31999999999999995,0.5538612887358584,0.7531772575250836,0.6383219954648526,3232,907,369,1126,229850.0
0.32999999999999996,0.5624683864441072,0.7438127090301003,0.6405529953917051,3274,865,383,1112,234750.0
0.33999999999999997,0.5676240208877285,0.7270903010033445,0.6375366568914956,3311,828,408,1087,245400.0
0.3499999999999999,0.5760343901128425,0.717056856187291,0.6388557806912991,3350,789,423,1072,250950.0
0.35999999999999993,0.581858407079646,0.7036789297658863,0.6369966696942174,3383,756,443,1052,259300.0
0.36999999999999994,0.5911949685534591,0.691638795986622,0.6374845869297164,3424,715,461,1034,266250.0
0.37999999999999995,0.5959834613112818,0.6749163879598662,0.6329987452948557,3455,684,486,1009,277200.0
0.38999999999999996,0.6041412911084044,0.6635451505016723,0.6324513866751673,3489,650,503,992,284000.0
0.3999999999999999,0.6102015113350125,0.6481605351170568,0.6286084982160234,3520,619,526,969,293950.0
0.4099999999999999,0.6199095022624435,0.6414715719063545,0.6305062458908612,3551,588,536,959,297400.0
0.41999999999999993,0.628418945963976,0.6301003344481605,0.6292585170340681,3582,557,553,942,304350.0
0.42999999999999994,0.6310746064339493,0.6167224080267558,0.6238159675236806,3600,539,573,922,313450.0
0.43999999999999995,0.6373239436619719,0.6053511705685619,0.6209262435677531,3624,515,590,905,320750.0
0.4499999999999999,0.6398550724637682,0.5906354515050167,0.6142608695652174,3642,497,612,883,330850.0
0.4599999999999999,0.6497386109036595,0.5819397993311036,0.6139731827805223,3670,469,625,870,335950.0
0.4699999999999999,0.6558641975308642,0.568561872909699,0.6091006807595843,3693,446,645,850,344800.0
0.4799999999999999,0.6626794258373205,0.5558528428093645,0.6045834849036014,3716,423,664,831,353150.0
0.48999999999999994,0.6683087027914614,0.5444816053511705,0.6000737191301143,3735,404,681,814,360700.0
0.49999999999999994,0.6731914893617021,0.5290969899665552,0.5925093632958801,3755,384,704,791,371200.0
0.5099999999999999,0.6728395061728395,0.5103678929765886,0.5804488398630658,3768,371,732,763,384550.0
